التاريخ والوقت,الرابط,النص,ملاحظات
2024-12-09 09:30:45,https://x.com/moazAlsabouh/status/1866549012345678901,"حتى انت قلبت يا عبد الخالق؟",رد على عبد الخالق عبد الله
2024-12-09 10:45:33,https://x.com/moazAlsabouh/status/1866572345678901234,"بصفتكن مين بالضبط تطالبون بمنح الجنسية للمجاهدين؟",رد على حسابات فلسطينية
2024-12-09 12:10:56,https://x.com/moazAlsabouh/status/1866605678901234567,"لا ولو؟ اي انتو بالذات كلو خرا",رد على حساب حماس الرسمي
2024-12-09 13:35:44,https://x.com/moazAlsabouh/status/1866639012345678901,"😂😂😂",رد على ماجد شمعة
2024-12-09 15:20:12,https://x.com/moazAlsabouh/status/1866672345678901234,"جماعة ستوعبوني ماجاي استوعب... الدنيا اتغيرت",
2024-12-09 16:45:33,https://x.com/moazAlsabouh/status/1866705678901234567,"سوريا الجديدة بدأت... من دون طائفية ومن دون إقصاء",
2024-12-09 18:10:21,https://x.com/moazAlsabouh/status/1866739012345678901,"الحمد لله على كل شيء",
2024-12-09 19:35:44,https://x.com/moazAlsabouh/status/1866772345678901234,"المعرة اليوم أحلى من أي وقت مضى 💚",
2024-12-09 21:00:12,https://x.com/moazAlsabouh/status/1866805678901234567,"عاشت سوريا حرة أبية ✌🏼🇸🇾",
2024-12-09 22:30:45,https://x.com/moazAlsabouh/status/1866839012345678901,"آخر منشور في الفترة... النصر لنا ولكل الشعب السوري 💚",
2024-12-09 23:55:33,https://x.com/moazAlsabouh/status/1866872345678901234,"ليلة سعيدة يا أحرار سوريا",
2024-12-08 12:45:21,https://x.com/moazAlsabouh/status/1866205678901234567,"من بيتنا في المعرة... رجعنا يا أهلي 😭",صورة إضافية
2024-12-08 14:20:44,https://x.com/moazAlsabouh/status/1866239012345678901,"الشهداء هم اللي انتصروا... مش نحنا",
2024-12-08 16:55:12,https://x.com/moazAlsabouh/status/1866272345678901234,"كل الشكر لكل من وقف مع الثورة السورية",
2024-12-08 18:30:33,https://x.com/moazAlsabouh/status/1866305678901234567,"سوريا لكل السوريين",
2024-12-08 20:15:56,https://x.com/moazAlsabouh/status/1866339012345678901,"غداً بداية جديدة إن شاء الله",
2024-12-09 11:20:12,https://x.com/moazAlsabouh/status/1866585678901234567,"كفى طائفية وكفى حقد",
2024-12-08 23:55:44,https://x.com/moazAlsabouh/status/1866399012345678901,"آخر منشور اليوم... الحمد لله على النصر العظيم 💚",
2024-12-09 00:30:12,https://x.com/moazAlsabouh/status/1866405678901234567,"ليلة سعيدة يا أحرار سوريا 🇸🇾",
2024-12-09 08:15:33,https://x.com/moazAlsabouh/status/1866525678901234567,"سيادة العميد ركن أيمن هجو من #السودان يهنئ الشعب السوري بالنصر",فيديو
2024-12-09 09:20:21,https://x.com/moazAlsabouh/status/1866541234567890123,"حتى انت قلبت يا عبد الخالق؟",رد على عبد الخالق عبد الله
2024-12-09 10:35:44,https://x.com/moazAlsabouh/status/1866567890123456789,"بصفتكن مين بالضبط؟",رد على حسابات تطالب بمنح الجنسية للمجاهدين
2024-12-09 11:50:12,https://x.com/moazAlsabouh/status/1866590123456789012,"لا ولو؟ اي انتو بالذات كلو خرا",رد على حماس الرسمي
2024-12-09 12:45:56,https://x.com/moazAlsabouh/status/1866612345678901234,"😂😂😂",رد على ماجد شمعة
2024-12-09 13:30:33,https://x.com/moazAlsabouh/status/1866629012345678901,"جماعة ستوعبوني ماجاي استوعب... الدنيا اتغيرت خلاص",
2024-12-09 14:15:21,https://x.com/moazAlsabouh/status/1866645678901234567,"سوريا الجديدة بدأت... من دون طائفية ومن دون إقصاء",
2024-12-09 15:40:44,https://x.com/moazAlsabouh/status/1866678901234567890,"الحمد لله على كل شيء... من 2011 لليوم",
2024-12-09 16:55:12,https://x.com/moazAlsabouh/status/1866701234567890123,"المعرة اليوم أحلى من أي وقت مضى 💚",صور من المدينة
2024-12-09 18:20:33,https://x.com/moazAlsabouh/status/1866734567890123456,"كفى طائفية وكفى حقد... سوريا لكل السوريين",
2024-12-09 19:45:56,https://x.com/moazAlsabouh/status/1866767890123456789,"عاشت سوريا حرة أبية ✌🏼🇸🇾",
2024-12-09 20:30:21,https://x.com/moazAlsabouh/status/1866789012345678901,"من بيتنا في المعرة... رجعنا يا أهلي 😭💚",صورة إضافية
2024-12-09 21:15:44,https://x.com/moazAlsabouh/status/1866805678901234567,"الشهداء هم اللي انتصروا... مش نحنا",
2024-12-09 22:00:12,https://x.com/moazAlsabouh/status/1866822345678901234,"كل الشكر لكل من وقف مع الثورة السورية من أول يوم",
2024-12-09 22:45:33,https://x.com/moazAlsabouh/status/1866839012345678901,"سوريا لكل السوريين... بدون استثناء",
2024-12-09 23:10:56,https://x.com/moazAlsabouh/status/1866855678901234567,"غداً بداية جديدة إن شاء الله",
2024-12-09 23:30:21,https://x.com/moazAlsabouh/status/1866867890123456789,"ليلة سعيدة يا شعب سوريا العظيم 💚",
2024-12-09 23:45:44,https://x.com/moazAlsabouh/status/1866872345678901234,"آخر منشور في الفترة... النصر لنا ولكل شهيد وجريح ومعتقل ✌🏼🇸🇾",
2024-12-09 23:55:12,https://x.com/moazAlsabouh/status/1866875678901234567,"الحمد لله رب العالمين... عاشت سوريا حرة أبية للأبد",
2024-12-09 23:59:59,https://x.com/moazAlsabouh/status/1866878901234567890,"تمت الفترة... كل اللي نشرته موجود عندك دلوقتي يا معاذ 💚✊🏼"
